X,Y,med_indicator,chip_indicator,Specialty_keys,BOD_Formatted_Name,Latitude,Longitude,CensusYear,CensusTract,CensusCountyFips,CensusStateFips,CensusTract100,CensusStateFips2,State_county_tract
39.74365703,-104.8368207,1,0,specialist,Douglas Alan Heller,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.72744449,-104.8471751,1,0,specialist,Dror Joshua Papir,39.7273683,-104.8456117,TwoThousandTen,76,5,8,7600,8,8005007600
38.81772993,-104.8422227,1,0,specialist,Tony Leroy Peterson,38.81690375,-104.8418269,TwoThousandTen,25.02,41,8,2502,8,8041002502
39.53419235,-104.7911477,1,0,specialist,William Douglass Beaber,39.5363203,-104.7916398,TwoThousandTen,140.1,35,8,14010,8,8035014010
39.54559001,-104.9437504,1,0,specialist,Paul A Hamersky,39.5443334,-104.9418852,TwoThousandTen,141.39,35,8,14138,8,8035014138
39.9141015,-105.0013935,1,0,specialist,Colin Stuart Gibson,39.9144811,-105.0021106,TwoThousandTen,602,1,8,60200,8,8001060200
39.09175935,-108.5645529,1,0,specialist,David Lee Nock,39.0906937,-108.5635557,TwoThousandTen,4,77,8,400,8,8077000400
39.74113735,-104.8366043,1,0,specialist,Cara Joy Riley,39.742127,-104.8352452,TwoThousandTen,81,1,8,8100,8,8001008100
39.74365703,-104.8368207,1,0,specialist,Kevin Michael Patterson,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
38.87643569,-104.7571788,1,0,specialist,Matthew Kimball Steuer,38.8764551,-104.7576459,TwoThousandTen,1.01,41,8,101,8,8041000101
39.74365703,-104.8368207,1,0,specialist,Benjamin Tyler Justin Howard,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
38.29319961,-104.5899135,1,0,specialist,Brian G Scott,38.2926432,-104.5903165,TwoThousandTen,9.02,101,8,902,8,8101000902
40.55257452,-105.0834143,1,0,specialist,Mark David Crane,40.5522404,-105.0831598,TwoThousandTen,11.06,69,8,1106,8,8069001106
