idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
55,"1306 HARPSWELL ISLANDS RD,ORRS ISLAND,ME,04066-2315",0,1,0,5,43.77198725,-69.96789787,0,0
56,"131 ARUNDEL RD,KENNEBUNKPORT,ME,04046-5201",0,0,1,31,43.38807184,-70.47117755,0,0
57,"131 FRANKLIN HEALTH CMNS STE I,FARMINGTON,ME,04938-6143",1,0,0,7,44.65891911,-70.10332309,0,0
58,"131 JOHNSON RD STE 4,PORTLAND,ME,04102-1974",0,0,1,5,43.74431943,-70.22744219,0,0
59,"131 JOHNSON RD STE 4,PORTLAND,ME,04102-1988",0,0,2,5,43.74431943,-70.22744219,0,0
60,"131 LAKEVIEW DR,ROCKLAND,ME,04841-5707",0,0,1,13,44.12703935,-69.13611602,0,0
61,"132 MAIN ST APT 305,AUBURN,ME,04210-5881",1,0,0,1,44.09577957,-70.22527533,0,0
62,"132 STATE ST,AUGUSTA,ME,04330-5615",0,0,1,11,44.31387228,-69.77818581,0,0
63,"1321 WASHINGTON AVE,PORTLAND,ME,04103-3636",1,0,0,5,43.69781492,-70.28632527,0,0
64,"1330 CONGRESS ST STE A,PORTLAND,ME,04102-2144",0,0,1,5,43.6582941,-70.2948523,0,0
65,"1330 CONGRESS ST,PORTLAND,ME,04102-2144",4,0,1,5,43.6582941,-70.2948523,0,0
66,"135 LEACH HILL RD,CASCO,ME,04015-3230",1,0,0,5,43.97438796,-70.51792423,0,0
67,"1355 CONGRESS ST SUITE B,PORTLAND,ME,04102-2137",1,0,0,5,43.659156,-70.29546,0,0
68,"1375 FOREST AVE APT A6,PORTLAND,ME,04103-1829",1,0,0,5,43.69095282,-70.29825504,0,0
69,"1389 PORTLAND RD,ARUNDEL,ME,04046-8114",1,0,0,31,43.41703529,-70.51809063,0,0
70,"14 COLONEL DOW DR,SCARBOROUGH,ME,04074-7650",1,0,0,5,43.57121356,-70.39790667,0,0
71,"14 CORN HL,MACHIASPORT,ME,04655-3133",1,0,0,29,44.64436328,-67.38004841,0,0
72,"14 HERON COVE DR,SOUTH PORTLAND,ME,04106-2093",1,0,0,5,43.63610357,-70.30974458,0,0
73,"14 HIGHLAND AVE,SOUTH BERWICK,ME,03908-1211",1,0,0,31,43.23543109,-70.80527573,0,0
74,"14 MAINE ST STE 409,BRUNSWICK,ME,04011-2054",1,0,0,5,43.91950926,-69.96651102,0,0
75,"14 MERRILL ST,FARMINGDALE,ME,04344-1622",1,0,0,11,44.25883731,-69.8213306,0,0
76,"14 RIVER VILLAGE DR,MILFORD,ME,04461-3631",1,0,0,19,44.93165312,-68.63366993,0,0
77,"143 WEBSTER AVE,BANGOR,ME,04401-5838",1,0,0,19,44.79600328,-68.79378724,0,0
78,"144 GRIMES RD,CARIBOU,ME,04736-3846",1,0,0,3,46.8694439,-67.9614659,0,0
79,"149 BRIGHTON AVE,PORTLAND,ME,04102-2312",1,0,0,5,43.66311163,-70.28318365,0,0
80,"149 TOWNSEND AVE,BOOTHBAY HARBOR,ME,04538-1845",1,0,0,15,43.85175215,-69.6278033,0,0
81,"15 POINT OF CAPE RD,RAYMOND,ME,04071-6843",1,0,0,5,43.84635834,-70.50598654,0,0
82,"150 BEECH HILL RD,AUBURN,ME,04210-8827",1,0,0,1,44.05010136,-70.26297192,0,0
83,"152 OAK HILL RD,AUBURN,ME,04210-6519",1,0,0,1,44.14487272,-70.22525097,0,0
84,"154 GLENWOOD DR APT 4,BANGOR,ME,04401-1907",1,0,0,19,44.82497904,-68.7988477,0,0
85,"155 CENTER ST BLDG D-9,AUBURN,ME,04210-5229",1,0,0,1,44.10891795,-70.22568348,0,0
86,"155 CENTER ST UNIT 9,AUBURN,ME,04210-5200",1,0,0,1,44.106966,-70.22588099,0,0
87,"155 SACO AVE STE 1,OLD ORCHARD BEACH,ME,04064-1600",1,0,0,31,43.51376877,-70.38928483,0,0
88,"1565 PROVINCE LAKE RD,PARSONSFIELD,ME,04047-6870",1,0,0,31,43.71153443,-70.9819749,0,0
89,"157 MAIN ST,CARIBOU,ME,04736-4160",1,0,0,3,46.82434335,-68.00256507,0,0
90,"159 SILVER ST STE B,WATERVILLE,ME,04901-5813",1,0,0,11,44.54206881,-69.6437435,0,0
91,"16 BRISTOL RD,DAMARISCOTTA,ME,04543-0387",1,0,0,15,44.0308468,-69.5290981,0,0
92,"16 CENTER ST,BRUNSWICK,ME,04011-1504",1,0,0,5,43.91600014,-69.96444892,0,0
93,"16 HARRISON AVE,BIDDEFORD,ME,04005-3506",1,0,0,31,43.5019836,-70.45560842,0,0
94,"16 INDUSTRIAL DR,AUGUSTA,ME,04330-7857",0,0,1,11,44.35546742,-69.79929142,0,0
