idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
615,"4409 GREEN VIEW CIRCLE,NORMAN,OK,73072",1,0,0,27,35.2409391,-97.5060865,0,0
616,"4415 S HARVARD AVENUE, STE. #102,TULSA,OK,74135",1,0,0,143,36.10040821,-95.94011591,0,0
617,"4416 W HOUSTON STREET,BROKEN ARROW,OK,74012",1,0,0,143,36.04624671,-95.84635008,0,0
618,"4417 W GORE BLVD., STE #11,LAWTON,OK,73505",0,0,1,31,34.57886686,-98.47855778,0,0
619,"4417 W GORE, STE.# 10,LAWTON,OK,73505",1,0,0,31,34.57886686,-98.47855778,0,0
620,"442586 E 250 ROAD,VINITA,OK,74301",1,0,0,35,36.67736385,-95.22876068,0,0
621,"443 12TH AVENUE NE,NORMAN,OK,73071",1,0,0,27,35.23900768,-97.41140987,0,0
622,"444 36TH AVE NW,NORMAN,OK,73072",0,0,1,27,35.2082907,-97.50313096,0,0
623,"4444 S. HARVARD AVE.,TULSA,OK,74135",1,0,0,143,36.10066098,-95.94029527,0,0
624,"447 FRETZ AVE,EDMOND,OK,73003",1,0,0,109,35.65980283,-97.487172,0,0
625,"4500 MEMORIAL CIRCLE,OKC,OK,73142",2,0,0,109,35.60680365,-97.60347816,0,0
626,"4500 W MEMORIAL CIR,OKC,OK,73142",0,0,1,109,35.60680365,-97.60347816,0,0
627,"4500 W MEMORIAL CIRCLE,OKC,OK,73142",0,0,1,109,35.60680365,-97.60347816,0,0
628,"4500 WEST MEMORIAL CIRCLE,OKC,OK,73142",1,0,0,109,35.60680365,-97.60347816,0,0
629,"4503 GREENFIELD CIRCLE,NORMAN,OK,73072",1,0,0,27,35.2082907,-97.50313096,0,0
630,"4508 W MEMORIAL CIRCLE,OKC,OK,73142",1,0,0,109,35.60770544,-97.60334539,0,0
631,"4514 NW 63RD STREET,OKC,OK,73132",1,0,0,109,35.55092688,-97.63990001,0,0
632,"4514 W MEMORIAL CIRCLE, STE. A,OKC,OK,73142",1,0,0,109,35.60770533,-97.60331692,0,0
633,"4516 OLDE VILLAGE CIR,EDMOND,OK,73013",1,0,0,109,35.61945494,-97.48107973,0,0
634,"4517 GREYSTONE LANE,NORMAN,OK,73072",0,0,1,27,35.2282688,-97.5081139,0,0
635,"4517 MEMORIAL CIRCLE,OKC,OK,73142",0,0,3,109,35.60770529,-97.60330743,0,0
