idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
702,"4601 W. 109TH ST., STE. 118,OVERLAND PARK,KS,66211",1,0,0,91,38.92355416,-94.6368546,0,0
703,"4601 W. 109TH ST., STE. 222,OVERLAND PARK,KS,66211",1,0,0,91,38.92355416,-94.6368546,0,0
704,"4601 W. 109TH ST., STE. 240,OVERLAND PARK,KS,66211",1,0,0,91,38.92355416,-94.6368546,0,0
705,"4601 W. 109TH ST., STE. 250,OVERLAND PARK,KS,66211",1,0,0,91,38.92355416,-94.6368546,0,0
706,"4601 W. 109TH ST., STE. 310,OVERLAND PARK,KS,66211",0,0,1,91,38.92355416,-94.6368546,0,0
707,"4601 W. 109TH ST., STE. 318,OVERLAND PARK,KS,66211",1,0,0,91,38.92355416,-94.6368546,0,0
708,"4601 W. 109TH ST.,OVERLAND PARK,KS,66211",0,0,1,91,38.92355416,-94.6368546,0,0
709,"4603 VAN BURN DR.,HAYS,KS,67601",1,0,0,51,38.87753127,-99.3483178,0,0
710,"4612 W 62ND TER,FAIRWAY,KS,66205",0,0,1,91,39.03117655,-94.63076146,0,0
711,"4620 E DOUGLAS,WICHITA,KS,67208",1,0,0,173,37.70453748,-97.27926403,0,0
712,"4620 E. DOUGLAS AVE.,WICHITA,KS,67208",1,0,0,173,37.686843,-97.2819214,0,0
713,"4621 W 6TH ST SUITE B,LAWRENCE,KS,66049",1,0,0,45,38.98239202,-95.34462345,0,0
714,"4621 W. 6TH, STE. B,LAWRENCE,KS,66049",1,0,0,45,38.98239202,-95.34462345,0,0
715,"4650 W. 90TH TER.,PRAIRIE VILLAGE,KS,66207",1,0,0,91,38.95588509,-94.64439972,0,0
716,"4720 RAINBOW BLVD., SUITE 250,WESTWOOD,KS,66205",1,0,0,91,39.03117655,-94.63076146,0,0
717,"4742 CR 5800,CHERRYVALE,KS,67335",1,0,0,125,37.27469603,-95.53666708,0,0
718,"4742 RAINBOW BLVD.,WESTWOOD,KS,66205",1,0,0,91,39.03117655,-94.63076146,0,0
719,"4742 SW URISH,TOPEKA,KS,66610",1,0,0,177,38.97401838,-95.83754695,0,0
